game_id,club_id,hosting,opponent_goals,own_goals
24734621,1005.0,Home,0.0,5.0
24736681,21532.0,Home,1.0,1.0
24751841,131.0,Home,0.0,3.0
24752011,368.0,Home,0.0,2.0
24752311,993.0,Home,0.0,0.0
24752481,367.0,Home,2.0,0.0
24752551,1050.0,Home,0.0,2.0
24752891,1084.0,Home,1.0,2.0
24752991,1533.0,Home,4.0,0.0
24753791,993.0,Home,2.0,1.0
24753871,16795.0,Home,0.0,1.0
24754611,993.0,Home,2.0,0.0
24754781,367.0,Home,2.0,0.0
24754831,3709.0,Home,1.0,1.0
24754881,940.0,Home,1.0,6.0
24784311,31614.0,Home,0.0,0.0
24784411,190.0,Home,0.0,2.0
24784521,33179.0,Home,0.0,1.0
24786011,276.0,Home,1.0,2.0
24786051,6195.0,Home,1.0,0.0
24786111,252.0,Home,0.0,1.0
24786121,5.0,Home,1.0,0.0
24786141,12.0,Home,0.0,2.0
24786191,749.0,Home,2.0,2.0
24786271,1038.0,Home,1.0,2.0
24786421,398.0,Home,2.0,3.0
24786541,458.0,Home,1.0,2.0
24787001,252.0,Home,1.0,1.0
24787641,12.0,Home,2.0,2.0
24787781,276.0,Home,0.0,1.0
24787861,46.0,Home,1.0,0.0
24788081,416.0,Home,1.0,1.0
24788221,1390.0,Home,2.0,1.0
24788531,430.0,Home,1.0,2.0
24788581,6195.0,Home,1.0,1.0
24788961,6574.0,Home,1.0,1.0
24789171,458.0,Home,2.0,2.0
24789331,130.0,Home,2.0,2.0
24789491,1429.0,Home,1.0,0.0
24789551,749.0,Home,1.0,1.0
24789601,46.0,Home,3.0,4.0
24790471,1101.0,Home,1.0,4.0
24790491,318.0,Home,0.0,0.0
24795281,7788.0,Home,0.0,0.0
24798801,1184.0,Home,0.0,0.0
24805021,13482.0,Home,1.0,0.0
24808701,3008.0,Home,1.0,2.0
24809001,660.0,Home,0.0,3.0
24810241,1519.0,Home,0.0,1.0
24810341,2999.0,Home,0.0,4.0
24810571,371.0,Home,1.0,0.0
24812031,11259.0,Home,9.0,10.0
24821171,826.0,Home,1.0,0.0
24822071,14171.0,Home,2.0,0.0
24822141,415.0,Home,2.0,0.0
24822391,244.0,Home,1.0,3.0
